mid,lr,epoch,wd,ld,ld_type,criterion,avg_acc
0,5.00E-05,250,0,0,exponential,MSE,97.69999695
0,5.00E-05,250,0,0,exponential,CROSSENTROPY,93
0,5.00E-05,250,0,0,time-based,MSE,97.69999695
0,5.00E-05,250,0,0,time-based,CROSSENTROPY,93
0,5.00E-05,250,0,0.0001,exponential,MSE,97.69999695
0,5.00E-05,250,0,0.0001,exponential,CROSSENTROPY,92.59999847
0,5.00E-05,250,0,0.0001,time-based,MSE,97.69999695
0,5.00E-05,250,0,0.0001,time-based,CROSSENTROPY,92.59999847
0,5.00E-05,250,0,0.001,exponential,MSE,96.79999542
0,5.00E-05,250,0,0.001,exponential,CROSSENTROPY,89.09999847
0,5.00E-05,250,0,0.001,time-based,MSE,96.79999542
0,5.00E-05,250,0,0.001,time-based,CROSSENTROPY,89.3999939
0,5.00E-05,250,0,0.01,exponential,MSE,58.39999771
0,5.00E-05,250,0,0.01,exponential,CROSSENTROPY,47.29999924
0,5.00E-05,250,0,0.01,time-based,MSE,83.40000153
0,5.00E-05,250,0,0.01,time-based,CROSSENTROPY,72.69999695
0,5.00E-05,250,0.0001,0,exponential,MSE,97.69999695
0,5.00E-05,250,0.0001,0,exponential,CROSSENTROPY,93
0,5.00E-05,250,0.0001,0,time-based,MSE,97.69999695
0,5.00E-05,250,0.0001,0,time-based,CROSSENTROPY,93
0,5.00E-05,250,0.0001,0.0001,exponential,MSE,97.69999695
0,5.00E-05,250,0.0001,0.0001,exponential,CROSSENTROPY,92.59999847
0,5.00E-05,250,0.0001,0.0001,time-based,MSE,97.69999695
0,5.00E-05,250,0.0001,0.0001,time-based,CROSSENTROPY,92.59999847
0,5.00E-05,250,0.0001,0.001,exponential,MSE,96.79999542
0,5.00E-05,250,0.0001,0.001,exponential,CROSSENTROPY,89.09999847
0,5.00E-05,250,0.0001,0.001,time-based,MSE,96.79999542
0,5.00E-05,250,0.0001,0.001,time-based,CROSSENTROPY,89.3999939
0,5.00E-05,250,0.0001,0.01,exponential,MSE,58.39999771
0,5.00E-05,250,0.0001,0.01,exponential,CROSSENTROPY,47.29999924
0,5.00E-05,250,0.0001,0.01,time-based,MSE,83.40000153
0,5.00E-05,250,0.0001,0.01,time-based,CROSSENTROPY,72.69999695
0,5.00E-05,250,0.001,0,exponential,MSE,97.69999695
0,5.00E-05,250,0.001,0,exponential,CROSSENTROPY,93
0,5.00E-05,250,0.001,0,time-based,MSE,97.69999695
0,5.00E-05,250,0.001,0,time-based,CROSSENTROPY,93
0,5.00E-05,250,0.001,0.0001,exponential,MSE,97.69999695
0,5.00E-05,250,0.001,0.0001,exponential,CROSSENTROPY,92.59999847
0,5.00E-05,250,0.001,0.0001,time-based,MSE,97.69999695
0,5.00E-05,250,0.001,0.0001,time-based,CROSSENTROPY,92.59999847
0,5.00E-05,250,0.001,0.001,exponential,MSE,96.79999542
0,5.00E-05,250,0.001,0.001,exponential,CROSSENTROPY,89.09999847
0,5.00E-05,250,0.001,0.001,time-based,MSE,96.79999542
0,5.00E-05,250,0.001,0.001,time-based,CROSSENTROPY,89.3999939
0,5.00E-05,250,0.001,0.01,exponential,MSE,58.39999771
0,5.00E-05,250,0.001,0.01,exponential,CROSSENTROPY,47.29999924
0,5.00E-05,250,0.001,0.01,time-based,MSE,83.40000153
0,5.00E-05,250,0.001,0.01,time-based,CROSSENTROPY,72.69999695
0,5.00E-05,250,0.01,0,exponential,MSE,97.69999695
0,5.00E-05,250,0.01,0,exponential,CROSSENTROPY,93
0,5.00E-05,250,0.01,0,time-based,MSE,97.69999695
0,5.00E-05,250,0.01,0,time-based,CROSSENTROPY,93
0,5.00E-05,250,0.01,0.0001,exponential,MSE,97.69999695
0,5.00E-05,250,0.01,0.0001,exponential,CROSSENTROPY,92.59999847
0,5.00E-05,250,0.01,0.0001,time-based,MSE,97.69999695
